LTR,CANVAS ID,DEPT,COURSE,NAME,Instructor(s),# Students,Mode,Status,MT Date(s),MT Time(s),MT LT,MT Invig LT,MT Notes,FE Date,FE Time ,FE LT,FE Invig LT,FE Notes
HT,101138,BIOL,BIOL 428 101 2022W1,BIOL 428 101 2022W1 Evolutionary Morphology of Marine Invertebrates,"LEANDER, BRIAN",36,In-Person,Active,NO MT,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
HT,101139,BIOL,BIOL 430 101 2022W1,BIOL 430 101 2022W1 Genome Evolution,"ADAMS, KEITH",30,In-Person,Active,NO MT,,,,,12/11/2022,15:30,In-Person,In-Person,
,,,,,"LO, YU-CHEN",,,,,,,,,,,,,
HT,101146,BIOL,BIOL 448J 101 2022W1,BIOL 448J 101 2022W1 Directed Studies in Biology - DIRECTED STUDIES,DOES NOT EXIST,,,,NO MT,,,,,,,In-Person,In-Person,
HT,101148,BIOL,BIOL 458 101 2022W1,BIOL 458 101 2022W1 Developmental Neurobiology,"RAMER, MATTHEW",97,In-Person,Active,NO MT,,,,,12/21/2022,15:30,In-Person,In-Person,
HT,101150,BIOL,BIOL 463 101 2022W1,BIOL 463 101 2022W1 Gene Regulation in Development,"KALAS, PAMELA",39,In-Person,Active,NO MT,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
,,,,,"KAGIEVA, MADINA",,,,,,,,,,,,,
HT,101151,BIOL,BIOL 498 610 2022W1,BIOL 498 610 2022W1 Co-operative Work Placement III,TBA,8,In-Person,Active,NO MT,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
HT,101152,BIOL,BIOL 499 610 2022W1,BIOL 499 610 2022W1 Co-operative Work Placement IV,TBA,10,In-Person,Active,NO MT,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
HT,111816,BIOL,BIOL 548V 101 2022W1,BIOL 548V 101 2022W1 Advanced Topics in Biology - ADV TOPICS BIOL,TBA,15,In-Person,Active,NO MT,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
HT,101192,BOTA,BOTA 649 101 2022W1,BOTA 649 101 2022W1 Doctoral Dissertation,TBA,52,In-Person,Active,NO MT,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
