LTR,CANVAS ID,,NAME,Instructor(s),# Students,Mode,Status,MT Date(s),MT Time(s),MT LT,MT Invig LT,MT Notes,FE Date,FE Time ,FE LT,FE Invig LT,FE Notes
,,,,"STIRCHAK, LAURA",,,,,,,,,,,,,
KL,105814,CHEM,"CHEM 123 211 2022W2 Thermodynamics, Kinetics and Organic Chemistry","SAMMIS, GLENN",229,In-Person,Active,2/8/2023,19:00 - 20:00,In-Person,In-Person,,TBA,TBA,In-Person,In-Person,
,,,,"GRENFELL, PATEY",,,,3/22/2023,19:00 - 20:00,,,,,,,,
,,,,"STIRCHAK, LAURA",,,,,,,,,,,,,
KL,105815,CHEM,"CHEM 123 222 2022W2 Thermodynamics, Kinetics and Organic Chemistry","RAHEEM, NIGARE",196,In-Person,Active,2/8/2023,19:00 - 20:00,In-Person,In-Person,,TBA,TBA,In-Person,In-Person,
,,,,"STIRCHAK, LAURA",,,,3/22/2023,19:00 - 20:00,,,,,,,,
KL,105816,CHEM,"CHEM 123 266 2022W2 Thermodynamics, Kinetics and Organic Chemistry","KIL, RICHARD",189,In-Person,Active,2/8/2023,19:00 - 20:00,In-Person,In-Person,,TBA,TBA,In-Person,In-Person,
,,,,"STIRCHAK, LAURA",,,,3/22/2023,19:00 - 20:00,,,,,,,,
KL,105817,CHEM,"CHEM 123 299 2022W2 Thermodynamics, Kinetics and Organic Chemistry","RAHEEM, NIGARE",183,In-Person,Active,2/8/2023,19:00 - 20:00,In-Person,In-Person,,TBA,TBA,In-Person,In-Person,
,,,,"STIRCHAK, LAURA",,,,3/22/2023,19:00 - 20:00,,,,,,,,
KL,116538,CHEM,"CHEM 123 ALL LECTURES 2022W2 Thermodynamics, Kinetics and Organic Chemistry","SAMMIS, GLENN",1649,In-Person,Active,2/8/2023,19:00 - 20:00,In-Person,In-Person,,TBA,TBA,In-Person,In-Person,
,,,,"RAHEEM, NIGARE",,,,3/22/2023,19:00 - 20:00,,,,,,,,
,,,,"GRENFELL, PATEY",,,,,,,,,,,,,
,,,,"KIL, RICHARD",,,,,,,,,,,,,
,,,,"COOKE, ILSA",,,,,,,,,,,,,
,,,,"STIRCHAK, LAURA",,,,,,,,,,,,,
KL,115731,CHEM,"CHEM 123/135 ALL LABS 2022W2 Thermodynamics, Kinetics and Organic Chemistry","BRYMAN, DOUGLAS",1779,In-Person,Active,NO MIDTERM,NO MIDTERM,NO MIDTERM,NO MIDTERM,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
,,,,"THOMAS, ANNE",,,,,,,,,,,,,
,,,,"WHITE, ETHAN",,,,,,,,,,,,,
,,,,"ZOU, KE",,,,,,,,,,,,,
,,,,"MICHAL, CARL",,,,,,,,,,,,,
KL,105818,CHEM,CHEM 205 203 2022W2 Physical Chemistry,"LI, HONGBIN",131,In-Person,Active,2/27/2023,19:00 - 20:30,In-Person,In-Person,,TBA,TBA,In-Person,In-Person,
KL,105819,CHEM,CHEM 205 210 2022W2 Physical Chemistry,"CHEN, DAVID",142,In-Person,Active,2/27/2023,19:00 - 20:30,In-Person,In-Person,,TBA,TBA,In-Person,In-Person,
KL,105820,CHEM,CHEM 205 222 2022W2 Physical Chemistry,"CHOU, KENG CHANG",85,In-Person,Active,2/27/2023,19:00 - 20:30,In-Person,In-Person,,TBA,TBA,In-Person,In-Person,
KL,116594,CHEM,CHEM 205 ALL LECTURES 2022W2 Physical Chemistry,"CHOU, KENG CHANG",358,In-Person,Active,2/27/2023,19:00 - 20:30,In-Person,In-Person,,TBA,TBA,In-Person,In-Person,
,,,,"CHEN, DAVID",,,,,,,,,,,,,
,,,,"LI, HONGBIN",,,,,,,,,,,,,
KL,116586,CHEM,CHEM 211/215 ALL LABS 2022W2 Introduction to Chemical Analysis,"NUNEZ, JOSE RODRIGUEZ",174,In-Person,Active,NO MIDTERM,NO MIDTERM,NO MIDTERM,NO MIDTERM,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
KL,105822,CHEM,CHEM 213 201 2022W2 Organic Chemistry,"PERRIN, DAVID",248,In-Person,Active,2/2/2023,TBA,In-Person,In-Person,,TBA,TBA,In-Person,In-Person,
,,,,,,,,3/14/2023,TBA,,,,,,,,
KL,105824,CHEM,CHEM 235 ALL LABS 2022W2 Organic Chemistry Laboratory,"TERPSTRA, ANDREA",515,In-Person,Active,NO MIDTERM,NO MIDTERM,NO MIDTERM,NO MIDTERM,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
KL,105835,CHEM,CHEM 300 209/211 2022W2 Communicating Chemistry,"STOODLEY, ROBIN",38,In-Person,Active,NO MIDTERM,NO MIDTERM,NO MIDTERM,NO MIDTERM,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
KL,105839,CHEM,CHEM 311 299 2022W2 Instrumental Analytical Chemistry,"BIZZOTTO, DAN",58,In-Person,Active,2/28/2023,9:30 - 11:00,In-Person,In-Person,,TBA,TBA,In-Person,In-Person,
KL,105840,CHEM,CHEM 313 208 2022W2 Advanced Organic Chemistry for the Life Sciences,"SHERMAN, JOHN",136,In-Person,Active,2/12/2023,8:00 - 9:00,In-Person,In-Person,,TBA,TBA,In-Person,In-Person,
KL,105847,CHEM,CHEM 327 212 2022W2 Introduction to Materials Chemistry,"NUNEZ, JOSE RODRIGUEZ",80,In-Person,Active,NO MIDTERM,NO MIDTERM,NO MIDTERM,NO MIDTERM,,TBA,TBA,In-Person,In-Person,
KL,105841,CHEM,CHEM 3XX ALL LABS 2022W2 Chemistry Integrated Laboratory I/II,"RUEDA BECERRIL, MONTSERRAT",189,In-Person,Active,NO MIDTERM,NO MIDTERM,NO MIDTERM,NO MIDTERM,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
,,,,"STOODLEY, ROBIN",,,,,,,,,,,,,
,,,,"BUSSIERE, GUILLAUME",,,,,,,,,,,,,
,,,,"TERPSTRA, ANDREA",,,,,,,,,,,,,
,,,,"MONGA, VISHAKHA",,,,,,,,,,,,,
,,,,"KIL, RICHARD",,,,,,,,,,,,,
KL,105855,CHEM,CHEM 401/519A 299 2022W2 Principles of Spectroscopy,"MOMOSE, TAKAMASA",28,In-Person,Active,NO MIDTERM,NO MIDTERM,NO MIDTERM,NO MIDTERM,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
KL,105858,CHEM,CHEM 410/502 211 2022W2 Properties of Materials,"CHOU, KENG CHANG",13,In-Person,Active,2/27/2023,11:00 - 11:50,In-Person,In-Person,,TBA,TBA,In-Person,In-Person,
KL,105859,CHEM,CHEM 411/566 201 2022W2 Synthesis and Chemistry of Natural Products,"DAKE, GREGORY",8,In-Person,Active,3/8/2023,14:00 - 15:00,In-Person,In-Person,,TBA,TBA,In-Person,In-Person,
KL,105860,CHEM,CHEM 412 266 2022W2 Electronic Structure of Atoms and Molecules,"WANG, YAN",7,In-Person,Active,NO MIDTERM,NO MIDTERM,NO MIDTERM,NO MIDTERM,,TBA,TBA,In-Person,In-Person,
KL,105868,CHEM,CHEM 461/561 233 2022W2 Advanced Chemical Biology,"PERRIN, DAVID",23,In-Person,Active,3/2/2023,"11:00 - 12:30,",In-Person,In-Person,,TBA,TBA,In-Person,In-Person,
,,,,,,,,,15:30 - 17:00,,,,,,,,
KL,105873,CHEM,CHEM 521B 299 2022W2 Topics in Inorganic Chemistry - TOP INORGAN CHEM,"BERLINGUETTE, CURTIS",4,In-Person,Active,NO MIDTERM,NO MIDTERM,NO MIDTERM,NO MIDTERM,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
KL,105880,CHEM,CHEM 573 299 2022W2 Application of Spectroscopy to Organic Structural Determinations,"ANDERSEN, RAYMOND",17,In-Person,Active,TBA*,9:30 - 11:00,In-Person,In-Person,,TBA,TBA,TBA,TBA,
KL,106003,COGS,COGS 200 002 2022W2 Introduction to Cognitive Systems,"BITTNER, THOMAS JACOB",163,In-Person,Active,2/16/2023,15:30 - 17:00,In-Person,In-Person,,TBA,TBA,In-Person,In-Person,
,,,,"KINGSTONE, ALAN FORBES",,,,,,,,,,,,,
,,,,"TKACHMAN, OKSANA",,,,,,,,,,,,,
KL,106006,COGS,COGS 401 002 2022W2 Seminar in Cognitive Systems,"KRYKLYWY, JAMES",31,In-Person,Active,NO MIDTERM,NO MIDTERM,NO MIDTERM,NO MIDTERM,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
KL,106007,COGS,COGS 401 003 2022W2 Seminar in Cognitive Systems,"TOMM, BRANDON",30,In-Person,Active,NO MIDTERM,NO MIDTERM,NO MIDTERM,NO MIDTERM,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
KL,106008,COGS,COGS 402 002 2022W2 Research in Cognitive Systems,"KRYKLYWY, JAMES",48,In-Person,Active,NO MIDTERM,NO MIDTERM,NO MIDTERM,NO MIDTERM,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
KL,107009,ENPH,ENPH 352 L2C/L2D 2022W2 Laboratory Techniques in Physics,"HALPERN, MARK",30,In-Person,Active,NO MIDTERM,NO MIDTERM,NO MIDTERM,NO MIDTERM,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
KL,107018,ENVR,ENVR 200 201 2022W2 Introduction to Environmental Science,"ACHAR, JERRY",43,In-Person,Active,NO MIDTERM,NO MIDTERM,NO MIDTERM,NO MIDTERM,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
,,,,"LIPSEN, MICHAEL",,,,,,,,,,,,,
KL,107019,ENVR,ENVR 300 201 2022W2 Introduction to Research in Environmental Science,"RADIC, VALENTINA",63,In-Person,Active,NO MIDTERM,NO MIDTERM,NO MIDTERM,NO MIDTERM,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
KL,107020,ENVR,"ENVR 410 201 2022W2 Energy, Environment, and Society","GIANG, AMANDA",49,In-Person,Active,2/2/2023,11:00 - 12:30,In-Person,In-Person,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
,,,,,,,,3/30/2023,11:00 - 12:30,,,,,,,,
KL,113946,ENVR,ENVR 420 201 2022W2 Ecohydrology of Watersheds and Water Systems,"JOHNSON, MARK",28,In-Person,Active,2/13/2023,14:00 - 17:00,In-Person,In-Person,,4/03/2023 - 4/13/2023,17:00 - 11:59,Canvas Assignment,N/A,"*Take home final quiz,"
,,,,,,,,3/20/2023,14:00 - 17:00,,,,,,,, submitted as Canvas Assignment 
KL,107021,ENVR,ENVR 440 201 2022W2 Analytical Methods in Sustainability Science,"SIDHU, BALSHER SINGH",40,In-Person,Active,NO MIDTERM,NO MIDTERM,NO MIDTERM,NO MIDTERM,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
KL,107024,EOSC,EOSC 110 201 2022W2 The Solid Earth: A Dynamic Planet,"GILLEY, BRETT",147,In-Person,Active,2/9/2023,14:00 - 15:30,In-Person,In-Person,,TBA,TBA,In-Person,In-Person,
,,,,"LUKES, LAURA",,,,3/14/2023,14:00 - 15:30,,,,,,,,
KL,107025,EOSC,EOSC 110 V01 2022W2 The Solid Earth: A Dynamic Planet,"PETE, SHANDIN",59,In-Person,Active,2/17/2023,11:00 - 12:00,In-Person,In-Person,,TBA,TBA,TBA,In-Person,
,,,,"WILSON, BRIAN",,,,3/20/2023,11:00 - 12:00,,,,,,,,
